faq_no,subject,question,answer,note,date,up_check,print_check,カテゴリ
225,Cソース・コードとミックス（逆アセンブル）表示が一致しない,"プログラムを実行して、ブレークすると、コメント・アウトされている箇所でブレークします。
また、コメント・アウトされた行や空白にソフトウェアブレークを設定できたり、Cソース・コードと逆アセンブル表示の内容が一致せず、おかしい動きになります。何が原因でこのようになるのでしょうか？","正しいソース・ファイルが表示されていないことが考えられます。以下の内容について確認してください。
・再ロードを行ってみて改善されるか確認する
・そのエリアにダウンロードされているかを確認するため、メモリ・フィル等でそのエリアのデータを一旦クリアした後再ロードして、プログラムがロードされるか確認する
・設定メニューの[CSIDEの設定] &gt; [ファイル]タブにある[ソース・ファイルの検索パス]、[ソース・パスの置換]の設定内容を全て削除した後再ロードを行って改善されるか確認する
　※上記操作後にコード・ウィンドウを開くとソース・ファイルの選択ダイアログが表示される場合は、正しいソース・ファイルを選択してください。
",,2022/11/04 17:20:07,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
227,ソフトウェアの最新バージョンはホームページのどこにありますか,,"ソフトウェアの最新バージョンは、【https://www.computex.co.jp/support/download/cd/】製品ソフトウェアのダウンロード・ページ【/a】で、CDのイメージ・ファイルをダウンロードすることができます(*1)。ダウンロードするには、製品のシリアル番号とコード番号が必要となります。
ソフトウェアだけを取得する場合や製品にコード番号がない場合は、FAQ：【https://www.computex.co.jp/support/faq/Members/qa?no=442】No.000442【/a】をご参照ください。

*1：2023年4月から製品に付属のCDがなくなり、当社ホームページからCDのイメージ・ファイルをダウンロードするようになりました（一部の製品を除く）。
","2023/4/4：マスタCD廃止に伴い内容を変更
2023/4/20：コード番号がない場合の注釈を追加",2023/08/30 15:58:46,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
228,「サポート期間が終了しております。」と表示されてバージョンアップできない,"バージョン・アップ

アップデート・ウィザードを使用してバージョンアップを行おうとすると、

サポート期間は終了しております。サポート期間を更新してください
サポート終了日         20XX / XX / XX
CSDIE最新リリース日  20XX / XX / XX

と表示されてバージョンアップが行えません。
サポート制度は、終了期限の際に継続手続きを行っており、サポート期間内であるのになぜこのようなメッセージが表示されるのでしょうか。","アップデート・ウィザードでは、パソコン内に保存されているライセンス・ファイルを参照してサポート期間の確認を行っています。このため、サポート期間更新の手続きを行っていても、パソコン内のライセンス・ファイルが更新されていなければこのメッセージが表示されます。
表示されたメッセージ・ダイアログ中に[再取得]ボタンがあるので、このボタンをクリックしてするとライセンス申請ウィザードが起動するので、ライセンス・ファイルの再取得を行ってください。ライセンス・ファイル取得後、そのままCSIDEアップデート・ウィザードを継続することができます。
ただし、パソコンがオフラインの場合は、オンラインのパソコンでライセンス・ファイルを取得してライセンス・ファイルをコピーするか、オフライン申請する必要があります。",,2023/01/10 9:45:33,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
ライセンス・ツール"
229,ライセンス・ファイルを取得するタイミングについて,"ライセンス・ファイルはどのタイミングで取得する必要があるのでしょうか？
アップデートライセンス","ライセンス・ファイルを取得するタイミングは以下のとおりです。
・初めて製品を使用する場合
・アップグレード製品、オプション製品のライセンスを登録する場合
・ユーザ・サポート制度期間の延長、またはアップデート・ライセンスを更新した場合

ライセンス・ファイルの取得方法については、ライセンス・ツール・マニュアルをご参照ください。",,2023/05/10 13:33:31,True,True,ライセンス・ツール
230,CSIDE起動時のプログラム・カウンタとスタック・ポインタの初期値設定,"マクロでRegisterChange（PC,3,0800000)等を定義していますが、08000000にセットされた後、A0000000にセットされてしまいます。なぜでしょうか。CSIDEの更新処理やハードウェア初期化処理の後に、プログラム・カウンタ(PC)とスタック・ポインタ(SP)を設定することはできますか。","CPU_InitialPCSPコマンドをご使用ください（このコマンドはSHのみでRXは使用できません）。
コマンドウィンドウでこのコマンドを実行すると、その後のハードウェアの初期化時のPC、SPに設定された値が使用されます。この内容はプロジェクト・ファイルに保存されます。なお、PC、SPの値を元に戻すには、再度このコマンドを使用してください。
このコマンドの書式は、CSIDEヘルプをご参照ください。",,2023/05/10 13:37:05,True,True,JTAGエミュレータ(SH・RX・H8S系)
231,特定の関数を簡単に表示したい,ソース・ファイルを表示する時に、ファイル内の関数名一覧を表示させてそこから関数にジャンプすることはできますか。,"■コード・ウィンドウの場合
コード・ウィンドウのソースが表示されているエリアで直接関数名を入力すれば、その関数を表示することができます。

■ワークスペース・ウィンドウの場合
ソース・ファイルごとに関数がツリー表示さているので、目的の関数をダブル・クリックするとその関数が表示されます。",,2023/01/10 9:49:20,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
232,RTOSステータス・ウィンドウの「RTOSステータス機能を有効にする」のチェックがいつの間にか外れている,"RTOSステータスウインドウの[ＲＴＯＳステータス機能を有効にする]のチェックについて、
このチェックボックスはどのタイミングでチェックを入れればよいのでしょうか？
[ロード]ボタンでプログラムをロードするとチェックが外れてしまいます。","RTOSステータス情報を取得するためにカーネル変数をアクセスしますが、RTOSの初期化が行われる前にアクセスを行うと誤作動の原因となるため、ファイル・ロード時に無効にする（チェックにが外れる）仕様となっています。RTOSステータス表示は、カーネル変数の初期化後に有効にしてください。
また、ソフトウェア・ブレーク設定にあるコマンド実行機能を利用すると、自動的に有効にすることができます。
１．設定メニュー &gt; [ソフトウェア・ブレークの設定] &gt; [追加]ボタンでソフトウェア・ブレーク設定ダイアログを開く
２．[アドレス]にRTOSの初期化完了以降のアドレスを設定
３．[ブレーク時に実行するコマンド]にRTOSステータス表示を有効にするコマンド&quot;DefaultRtosStatusEnable(true)”を設定
",,2022/11/07 17:39:05,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
233,いつの頃からか&quot;サポート期間の終了日が近づいています&quot;と表示されるようになった,"ソフトウェアを起動した時に、

&quot;サポート期間の終了日が近づいています。&quot;
　サポート期間の終了日まで本日を入れてあとXX日です。
　サポートの更新手続きを行ってください。

と表示されるようになったのですが、サポートを更新しなければ使用できないのでしょうか。","このメッセージは、サポート期間の終了時期をお知らせするメッセージです。
サポート期間が終了すると、最新版のソフトウェアが使用できなくなりサポートも受けられなくなるので、更新されることをお勧めします。また、サポート期間の更新手続き完了後は、ライセンス・ファイルの再取得が必要となります。
ヘルプ・メニュー &gt; [サポート終了間近のお知らせを１ヶ月前から表示]で、表示/非表示を切り替えることができます。

◆関連FAQ
[No.000411] 【https://www.computex.co.jp/support/faq/Members/qa?no=411】ユーザ・サポート制度の加入を途中で止めた場合、製品自体も使用できなくなるのでしょうか【/a】",,2025/07/08 16:19:32,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
SPIフラッシュ専用プログラマ(FP-30)"
234,サポート期間が終了しているソフトウェアを別のパソコンで使用したい,"サポート期間が終了しているソフトウェアを別のパソコンにインストールして使用することは可能でしょうか？
バージョン・アップ","ライセンス・ファイルは、サポート期間に関係なく取得することができます。ご使用になるパソコンにライセンス・ツールをインストールし、ライセンス申請ウィザードを使ってライセンス・ファイルを取得してください。
ただし、ご使用の製品によっては【https://www.computex.co.jp/support/sp/sp.htm】ユーザ・サポート制度【/a】の違いにより、サポート期間が終了していると、ソフトウェアがダウンロードできないものもあります。その場合、もし以前に使用していたパソコンでバージョンアップを行ったことがある場合は、インストーラが特定フォルダ（FAQ 【https://www.computex.co.jp/support/faq/Members/qa?no=301】 No.000301【/a】）にダウンロードされているので、そのファイルを使ってインストールすることができます。ダウンロード・ファイルがない場合は、初めて製品を使用する時に【https://www.computex.co.jp/support/download/cd/】ダウンロード【/a】(*1)した、ソフトウェアのCDイメージ・ファイルをご使用ください。

*1：2023年4月から、製品に付属のCDがなくなり、当社ホームページからCDのイメージ・ファイルをダウンロードするようになりました（一部の製品を除く）。",2023/4/4：マスタCD廃止に伴い内容を変更,2023/08/30 16:00:16,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)
ライセンス・ツール"
235,別機種のCSIDEを同じパソコンにインストールすることは可能ですか,機種の異なる複数のCSIDEを1台のパソコンにインストールして使えますか？,それぞれが独立した専用ソフトなので、１台のパソコンに複数のCSIDEをインストールしても問題ありません。,,2022/11/30 16:40:11,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
237,SH7619が実装されたターゲットをデバッグしていると応答がなくなる,"SH7619を載せたターゲットをデバッグしようとしているのですが、、ターゲットシステムの更新は正常に行えるのですが、起動後に実行してもブレークできません。また、メモリにアクセスしても応答がなくなってしまいます。何が悪いのでしょうか？

SH7619　SH7618　SH7618A　SH7606","CPUのHIFMD端子の状態を確認し、HIFブートモードで起動していないかご確認ください。
SH7619/SH7618/SH7618A/SH7606には、ホストインターフェース機能（HIF機能）を使用することで、外部デバイスから起動（HIFブートモード）することができますが、CSIDEはHIFブートモードでの動作に対応していないため、ターゲットにアクセスすると応答がなくなります。
",,2022/11/08 14:37:52,True,True,JTAGエミュレータ(SH・RX・H8S系)
238,デバッガを接続するとSH7727のPCMCIA機能が使用できない,"AUDポートにマルチプレクスされているPCMCIAにアクセスすることができません。AUDとして使わない場合に、PCMCIAを使用できないのでしょうか。

HUDI141　HUDI140",SH7727はASEモード（デバッグ・モード）に切り替わると、PCMCIAが使用できない仕様になっています。そのため、PCMCIA機能のデバッグを行うことはできません。,,2022/11/08 16:53:22,True,True,JTAGエミュレータ(SH・RX・H8S系)
239,メモリ内容をバイナリ形式などのファイルとして保存したい,"メモリの内容をバイナリ形式などのファイルとして書き出すことはできないでしょうか。
インテルヘキサ、ヘキサ・フォーマット、ヘキサフォーマット、Sフォーマット","ファイル・メニュー &gt; [ライト]で、指定範囲のメモリ内容をファイルに保存することができます。
出力ファイルの形式は、バイナリ、インテル・ヘキサ、モトローラSから選択でき、インテル・ヘキサを選択した場合は拡張HEXで、モトローラSを選択した場合はS3フォーマットで保存されます。",,2023/09/22 14:59:26,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
240,RTOSタスクトレース表示の「タスク外」と「アイドル」とは,"RTOSタスクトレース表示にあるタスク外とアイドルという項目は、具体的に何が動作している時間を示しているのでしょうか。

RTOSデバッグ機能","タスク外とは、例外処理などタスク以外のプログラムを実行している時間です。
アイドルとは、タスクが1つも実行されずにアイドル処理ルーチンが実行されている時間です。",,2022/11/30 16:40:56,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
241,プログラム実行中の変数の変化を見たい,プログラムの実行中の変数の変化を見たいのですが、見る方法はないでしょうか？,"■Arm Cortex系CPUの場合
リアルタイム・モニタ機能を使ってグラフィカルに表示することができます（FAQ 【https://www.computex.co.jp/support/faq/Members/qa?no=358】No.000358【/a】）。

■SuperHシリーズのRAMモニタ機能やHUDIリード/ライト機能を持つCPUの場合
変数ウィンドウで表示することができます（FAQ 【https://www.computex.co.jp/support/faq/Members/qa?no=357】No.000357【/a】）。

■上記以外のCPUの場合
変数ウィンドウの[一定時間ごとに更新]機能を使用することにより、プログラム実行中に変数値を見ることができますが、内部的にブレーク→メモリ・リード→再実行という処理を行うため、リアルタイム性は損なわれますのでご注意ください。
プログラム実行中に変数の変化を参照するには、以下の設定を行います。
１．変数ウィンドウの&quot;グローバル&quot;タブまたは&quot;ウォッチ&quot;タブで、右クリック・メニュー &gt; [一定時間ごとに更新]の[一定時間ごとに最新の内容に更新する]を有効にする
２．必要に応じて[更新する間隔]を設定する（※更新時間はおよその時間です）
３．実行メニュー &gt; [プロパティ]の[実行のプロパティ]タブの実行グループにある[実行中のターゲットアクセスを有効にする]を有効にする",,2023/01/10 9:46:23,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
242,RTOSデバッグ機能を使用するには必ずフックルーチンを組み込まないといけない？,"RTOSデバッグライブラリを使用するためには必ずフックルーチンを組み込まなければならないのでしょうか。
RTOSデバッグ・ライブラリ
","RTOSタスクトレース機能を使用する場合は、フックルーチンの組み込みが必要となります。
RTOSステータス表示だけを使用する場合は、フックルーチンは組み込まなくてもご使用いただけます。",,2022/11/30 16:41:31,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
243,プロジェクト・ファイルに保存する項目を知りたい、または設定を変更したい,プロジェクトファイルに保存する項目を指定することはできますか？,設定メニュー &gt; [CSIDEの設定] &gt; [プロジェクト]タブ &gt; [プロジェクトファイルに保存する項目の選択]で、保存内容を確認したり変更したりすることができます。,,2022/11/09 14:12:00,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
244,CSIDEの設定ダイアログにRTOSタブがない,[RTOS]タブ,設定メニュー &gt; [CSDIEの設定]の[RTOS]タブは、CSIDE起動直後は表示されません。ターゲットシステムの設定の[更新]を行った後に表示されますので、更新処理を行ってからご確認ください。,,2023/04/07 15:42:14,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
245,ソフトウェアをバージョンアップしたときや旧バージョンに戻したとき、ファームウェアの更新メッセージが表示される,"現在使用しているソフトウェアのバージョンよりも、古いバージョンのものを使用する必要があったので旧バージョンを起動すると、ファームウェアの書き換えが表示されました。古いファームウェアに戻ってしまっても大丈夫なのでしょうか？

バージョン・アップ",ソフトウェア・バージョンに見合ったファームウェアが用意されているので、使用するバージョンが変わるとファームウェアの更新も必要になります。ソフトウェア・バージョンとファームウェアの整合性が取れないと正常動作できないので、必ずファームウェアの更新を行ってください。,,2023/01/10 9:45:42,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
246,SH7055で内蔵フラッシュメモリにユーザ・プログラムをダウンロードしてデバッグするには,SH7055で内蔵フラッシュにユーザプログラムを置いてデバッグするにはどうすればいいですか？,"通常どおり、内蔵フラッシュメモリにダウンロードすればデバッグを行うことができますが、以下の点についてご注意ください。
SH7055では、モニタ・プログラムを内蔵フラッシュメモリに配置(*1)するため、ユーザ・プログラムとモニタ・プログラム領域とが重ならないように配置する必要があります。もし領域が重なってモニタ・プログラムが書き換えられると、CSIDEが制御不能となります。
また、ユーザ・プログラムとモニタ・プログラムでベクタを共有し、一部のベクタではモニタ・プログラムが占有します。詳しくは、ユーザーズ・マニュアルをご確認ください。

*1：モニタ・プログラムは、CSIDEに付属の転送ソフト等で、あらかじめ内蔵フラッシュメモリにロードしておく必要があります。
",,2022/11/09 14:55:37,True,True,JTAGエミュレータ(SH・RX・H8S系)
247,SH7055の初期値の設定にある内蔵フラッシュ書き込み保護領域設定とは何ですか,SH7055 のCSIDEの初期値の設定にある[内蔵フラッシュ書き込み保護領域設定]は、何に使用する機能なのでしょうか？,SH7055では、内蔵フラッシュメモリ領域にモニタ・プログラムを配置し、そのモニタ・プログラムと通信を行うことによりデバッグ機能を実現しています。このモニタ・プログラムはユーザ領域に配置されているため、ファイルのダウンロード等により書き換えられると正常に制御できなくなってしまいます。そこで、モニタ・プログラムの配置アドレスを[内蔵フラッシュ書き込み保護領域設定]に設定することにより、デバッガからの書き換えを防げるようになっています。,,2022/11/09 15:20:08,True,True,JTAGエミュレータ(SH・RX・H8S系)
248,新しいバージョンと古いバージョンでプロジェクト・ファイルを共有したい,バージョンの新しいCSIDEと古いCSIDEでプロジェクトファイルを共有して使用することはできますでしょうか？,"新しいバージョンと古いバージョンで、プロジェクト・ファイルを共有することはできません。
プロジェクト・ファイルは上位互換となっているので、古いバージョンで作成したプロジェクト・ファイルを新しいバージョンで読み込むことはできますが、新しいバージョンで作成されたプロジェクト・ファイルを古いバージョンで使用することはできません。",,2022/11/15 16:12:46,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
250,旧バージョンのソフトウェアをダウンロードしたい,バージョンダウン,"旧バージョンのCDのイメージ・ファイルが【https://www.computex.co.jp/support/download/cd/】ダウンロード・ページ【/a】にアップされている場合、ダウンロード・ページから取得することができます(*1)。ただし、全てのバージョンがダウンロードできる訳ではありません。また、ダウンロードするには、製品のシリアル番号とコード番号が必要となります。

*1：2023年4月から、製品に付属のCDがなくなり、当社ホームページからCDのイメージ・ファイルをダウンロードするようになりました（一部の製品を除く）。",2023/4/4：マスタCD廃止に伴い内容を変更,2025/05/08 16:33:00,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
251,アップデート・ウィザードでダウンロードしたファイルはアップデート専用のファイルですか,"CSIDEアップデート・ウィザードでダウンロードできるファイルは、アップデート用のファイルでしょうか？
付属のCD-ROMから古いCSIDEをインストールしてから、アップデートを行わなければならないのでしょうか。","アップデート専用のファイルではありません。アップデート前のバージョンがインストールされていなくても、ダウンロードしたファイル単体でインストールすることができます。
ただし、インストールを行うには、ライセンス・キーが必要です（FPシリーズ以外）。","

",2023/06/07 17:44:11,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)
Linuxアプリケーション・デバッガ(C-Shark)"
252,RTOSタスクトレース表示の実行時間は正確ですか,"RTOSタスクトレース表示の実行時間は正しいのでしょうか？

RTOSデバッグ機能","フックルーチンの実行時間を含みますので、正確な時間表示にはなりません。
RTOSタスクトレース表示を行うためにフックルーチンの組込みを行いますが、フックルーチンが組込まれるとタスク遷移やシステムコール発生時にフックルーチンが呼ばれて若干のオーバーヘッドが発生し、プログラム自体のリアルタイム性は失われます。
RTOSタスクトレース表示は、このオーバーヘッド時間を含んだ実行時間が表示されますので、それを考慮した上で参照してください。なお、発生するオーバーヘッド時間は、使用CPUや動作クロックなどの使用条件により異なります。",,2022/11/18 10:59:53,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
253,最新マニュアルを入手したい,手元にあるユーザーズ・マニュアルは、購入時に付属してきたもので古いのですが、最新版のユーザーズ・マニュアルを入手することはできませんでしょうか。,ご使用のソフトウェアをアップデートすると、最新のマニュアルが一緒にインストールされます。マニュアルはPDF形式で、Windowsのスタート・メニューに登録されています。,,2022/11/16 15:15:17,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
254,CPUトレース・ウィンドウに表示されるタイムスタンプは正確ですか,"分岐トレースに表示されるタイムスタンプは正確なのでしょうか？
","CPUから得られる情報は分岐情報のみであり、その間の情報はCSIDEが分岐情報とデバッグ情報から解析を行って、実行されている命令を補完して表示しています。このため、表示されるタイムスタンプも分岐点以外はCSIDEが補完していることになります。このため分岐点のタイムスタンプがCPUから取得した際のタイムスタンプとなります。

・SHの場合
使用CPUとトレースモードによって、タイムスタンプの正確さが異なります。
まず、お使いのCPUのHUDI/AUD信号に、ASEBRK/BRKACK や ASEBRKAK といった信号が含まれる場合には、この信号を使用してハード的に実行／ブレークを検出しますので正確なタイムスタンプが表示されます。もし、これらの信号は無いCPUの場合には、CSIDEが内部タイマを使用して時間を計測するため、最大で数msの誤差が含まれた表示となります。
また、トレースモードによってもタイムスタンプに影響があります。
トレースモードが&quot;トレース優先&quot;モードの場合、分岐が連続した場合に分岐情報の取得を優先するためにCPUが一時停止することがあり、完全にリアルタイムにならない場合があります。この場合に表示されるタイムスタンプの表示も、停止した時間が含まれた結果の表示となります。
 レースモードが&quot;実行優先モード&quot;であれば、プログラム実行が優先されるのでトレース優先モードのようにCPUが停止することはありませんので、タイムスタンプには影響はありません。ただし、実行を優先するために、分岐が連続した場合に分岐情報が抜け落ちることがあります。

・RXの場合
トレースモードが&quot;トレース優先&quot;モードの場合、分岐が連続した場合に分岐情報の取得を優先するためにCPUが一時停止することがあり、完全にリアルタイムにならない場合があります。この場合に表示されるタイムスタンプの表示も、停止した時間が含まれた結果の表示となります。
トレースモードが&quot;実行優先モード&quot;であれば、プログラム実行が優先されるのでトレース優先モードのようにCPUが停止することはありませんので、タイムスタンプには影響はありません。ただし、実行を優先するために、分岐が連続した場合に分岐情報が抜け落ちることがあります。

・H8Sシリーズの場合
表示されるタイムスタンプは、CSIDEが内部タイマを使用して時間を計測したため、最大で数msの誤差が含まれた表示となります。",,2022/11/10 14:48:54,True,True,JTAGエミュレータ(SH・RX・H8S系)
255,CSIDEの画面右下に表示されている実行時間表示は正確ですか,CSIDEの画面右下に表示されている実行時間表示は、どれくらい正確な値が表示されているのでしょうか。,"・SHの場合
HUDI/AUD信号にASEBRK/BRKACKやASEBRKAKといった信号が含まれるCPUの場合は、この信号を使用してハード的に実行／ブレークを検出しますので正確な実行時間が表示されます。これらの信号が無いCPUの場合は、内部タイマを使用して実行時間を計測するため、最大で数十msの誤差が生じます。実行時間表示は参考程度とお考えください。

・その他
PALMiCEの内部タイマやWindowsのタイマを使用して実行時間計測を行うため、数十～数百msの誤差が生じます。実行時間は参考程度にお考えください。

",,2022/11/10 14:58:40,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
256,SH7080シリーズの通常版F-ZTAT版が起動できない,"SH7080シリーズのターゲットを使用していて、古いハードウェアは起動するのですが、新しく製作したハードウェアでは、CSIDEの起動時にStep11:H-UDIモニタをダウンロードの段階で、

17837：CPUの選択が正しくないか又は動作モードが正しくないため
         H-UDI通信が正常に動作しません。（productID=00000087,rcv = 000000C1)

というエラーが表示されて起動することができません。
同じCPUを使用しているのですが、なぜ起動しないのでしょうか。","CSIDEのバージョンを確認してください。
SH7080シリーズの対応は、フル機能対応はF-ZTAT版はVer.4.85.00から、通常版はF-ZTAT版はVer.5.05.00から対応しています。

【特記事項】
このエラー番号は途中で変更されています。
旧エラー番号：30638",,2022/11/10 15:14:32,True,True,JTAGエミュレータ(SH・RX・H8S系)
257,SH7750Rでブレーク中にNMI割込みが発生するとデバッグの続行が不可能になる,SH7750Rにて、内蔵レジスタのICR.NMIBビットを1 （ SR.BL ビットが1 のとき、NMI 割り込み要求を検出する ）に設定して、ブレーク中にNMIを発生させると、その後、PALMiCEでデバッグの続行が不可能になるのですが、これは仕様でしょうか？,内蔵レジスタのICR.NMIBビットが1（ NMI割込みが有効）の状態でブレークすると、ブレーク中でもNMI割込みを受け付けます。このとき、NMI処理ルーチンから復帰できないと、タイムアウトが発生してデバッグが継続できなくなります。,,2022/11/10 16:13:52,True,True,JTAGエミュレータ(SH・RX・H8S系)
268,H8/3004／H8/3005で起動することができないのですが？,"H8/3004、もしくは、 H8/3005を選択して更新を行おうとしているのですが、ターゲットボードのMD端子の設定と動作モードを正しく選択しているにもかかわらず、「TEP8 : マッピング情報の初期化」で、「30626 : MD端子の設定と動作モードが合っていません。」というエラーメッセージが表示されて起動することができません。
なぜ、起動(更新)させることができないのでしょうか。","H8/3004,H8/3005をご使用の場合、CSIDEが正常にMD端子の認識をできず、このエ
ラーが発生してしまうことが確認されています。
これを改善する修正用ファイルをご用意していますので、以下のURLよりダウン
ロードを行い、以下で示す手順に従いパッチをあててご使用ください。

http://www.computex.co.jp/ftproot/pub/cside/mrice2/patch/mrice2_h8300h_patch.zip

１．ダウンロードしたファイルを解凍してください。
　　解凍後、A152002.dat、A152003.datという２つのファイルができます。

２．CSIDEをインストールしたフォルダ(初期値ではC:\Program Files\CSIDE)の
　　\PROGRAM\Product Files\Mr.ICE2 H8-300Hフォルダを開いてください。

３．２で開いたフォルダ内に、１の修正用ファイルと同名のファイルがあります
　　ので、上書きコピーをしてください。

４．上書き後、CSIDEを起動させてご使用ください。


※CSIDE for Mr.ICE2 H8-300Hの全バージョンに共通の内容です。",,2022/12/23 16:50:51,False,False,
269,NORTi4のRTOSタスクトレース表示が何も表示されないのですが？,"NORTi4にフックルーチンを組み込んだのですが、RTOSタスクトレース表示に何も表示されません。
何故表示されないのでしょうか？","まずは、フックルーチンの組込みの設定がオンラインマニュアル通りに正しく設定されているか、デバッグ情報が出力されるように設定されているか、また、タスクトレース・ウィンドウの「タスクトレースを使用する」にチェックが入っているかを確認してください。

バッファ方式でお使いの場合、時間取得のためのタイマが正しく動作していない、μ秒単位でタイマ値が返ってきていないなども考えられます。確認のために、単純な時間を返すだけのダミータイマを使用してみて確認してみてください。
ダミータイマで表示されるようになれば、使用されているタイマに問題があります。
なお、ダミータイマの使用に関しては、オンラインマニュアルをご参照ください。

設定が正しければ実行段階でctex_norti.ｃのvsys_swtsk関数が呼ばれます。その他、変数、CtexRtosStart、CtexRtosEndがRAM領域に割り付けられている必要があります。ROM領域に割り付けられている場合はリンク・オプションに「ROM＝D=R」（ルネサスCの場合）が設定されているか確認してください。",2022/10/07：FAQ検索リニューアルに伴い内容見直しで非公開に変更（真鍋）。,2023/05/10 13:34:30,False,False,
270,Windowsの対応状況を教えてください,Windowsの対応状況を教えてください。,Windowsへの対応状況は、当社【https://www.computex.co.jp/support/technical/supplement/index.htm】ホームページ【/a】で対応状況をご確認ください。,,2022/12/01 17:11:52,False,False,
271,デバッガで2点間の実行時間を測定したい,"PALMiCEを使用して、2点間の実行時間を測定したいのですができないのでしょうか？
コアベンチマーク
RTM","PALMiCE4 ARMシリーズのコア・ベンチマーク機能を使うことで、2点間の実行時間測定を行うことができます。この機能は2点間実行時間測定に限らず、全体的なパフォーマンス測定を行うことができます。
また、リアルタイム・モニタ機能を使って測定することもできます。リアルタイム・モニタでは４種のコンパレータが用意されており、任意の条件でトリガを発生させることが可能です。変数の変化点をトリガとして登録することができ、複雑な条件で2点間の実行時間を計測することができます。

【備考】
PALMiCE3 SHやRXで2点間実行時間を測定することはできません。",,2023/01/10 9:48:04,True,True,JTAGエミュレータ(ARM系)
